date,year,month,day,holiday_name
2020-01-24,2020,1,24,Spring Festival
2020-04-04,2020,4,4,Qingming
2020-05-01,2020,5,1,Labor Day
2020-06-25,2020,6,25,Dragon Boat
2020-10-01,2020,10,1,National Day
2021-02-11,2021,2,11,Spring Festival
2021-04-03,2021,4,3,Qingming
2021-05-01,2021,5,1,Labor Day
2021-06-14,2021,6,14,Dragon Boat
2021-10-01,2021,10,1,National Day
2022-01-31,2022,1,31,Spring Festival
2022-04-05,2022,4,5,Qingming
2022-05-01,2022,5,1,Labor Day
2022-06-03,2022,6,3,Dragon Boat
2022-10-01,2022,10,1,National Day
2023-01-21,2023,1,21,Spring Festival
2023-04-05,2023,4,5,Qingming
2023-05-01,2023,5,1,Labor Day
2023-06-22,2023,6,22,Dragon Boat
2023-10-01,2023,10,1,National Day
2024-02-09,2024,2,9,Spring Festival
2024-04-04,2024,4,4,Qingming
2024-05-01,2024,5,1,Labor Day
2024-06-10,2024,6,10,Dragon Boat
2024-10-01,2024,10,1,National Day
2025-01-28,2025,1,28,Spring Festival
2025-04-04,2025,4,4,Qingming
2025-05-01,2025,5,1,Labor Day
2025-05-31,2025,5,31,Dragon Boat
2025-10-01,2025,10,1,National Day
2026-02-16,2026,2,16,Spring Festival
2026-04-05,2026,4,5,Qingming
2026-05-01,2026,5,1,Labor Day
